Date,Open,High,Low,Close,Volume
5-Apr-17,80.91,81.50,78.12,78.24,512902
4-Apr-17,79.76,81.18,79.53,80.29,525199
3-Apr-17,80.24,81.11,79.12,79.73,431186
31-Mar-17,79.88,80.77,79.35,80.02,377574
30-Mar-17,79.23,80.40,79.12,80.12,436308
29-Mar-17,79.32,79.96,79.08,79.34,410425
28-Mar-17,77.89,80.47,77.89,79.60,476879
27-Mar-17,77.14,78.19,76.18,77.89,768176
24-Mar-17,79.40,80.07,78.46,78.81,478334
23-Mar-17,79.99,80.98,79.20,79.39,303315
22-Mar-17,79.77,80.62,79.24,80.05,462596
21-Mar-17,82.21,82.26,78.81,79.70,683849
20-Mar-17,82.53,82.56,81.34,81.83,545357
17-Mar-17,83.06,84.41,82.32,82.36,697663
16-Mar-17,84.88,85.24,82.48,82.63,471831
15-Mar-17,82.40,84.29,81.58,83.84,735230
14-Mar-17,81.40,82.37,80.25,81.90,763624
13-Mar-17,81.16,81.57,80.46,80.83,610267
10-Mar-17,80.85,81.81,80.15,80.26,460114
9-Mar-17,80.71,81.98,80.16,80.55,541007
8-Mar-17,81.57,82.16,80.50,81.20,635887
7-Mar-17,83.84,83.84,81.66,81.74,535699
6-Mar-17,83.42,84.19,83.18,83.82,435566
3-Mar-17,84.50,85.34,83.62,84.62,436019
2-Mar-17,86.82,87.46,84.54,84.57,369659
1-Mar-17,86.11,87.78,86.09,87.28,566863
28-Feb-17,85.33,86.21,83.91,84.65,612709
27-Feb-17,84.21,86.20,83.80,85.29,943621
24-Feb-17,82.77,84.23,82.26,84.08,372536
23-Feb-17,87.02,87.28,83.22,83.87,659202
22-Feb-17,87.04,87.50,85.54,86.63,625308
21-Feb-17,86.39,87.69,86.39,87.62,427292
17-Feb-17,87.40,87.66,86.20,86.54,405677
16-Feb-17,85.85,88.58,84.96,87.61,776269
15-Feb-17,84.32,86.00,84.32,85.71,613932
14-Feb-17,84.97,85.05,83.56,84.30,365636
13-Feb-17,84.66,85.24,84.11,84.97,432169
10-Feb-17,84.31,84.61,83.39,83.44,501241
9-Feb-17,81.66,83.66,81.27,83.60,483004
8-Feb-17,81.35,82.14,80.72,81.47,400698
7-Feb-17,82.18,82.97,81.35,81.55,407379
6-Feb-17,81.77,82.31,81.37,81.76,354219
3-Feb-17,80.74,81.76,79.43,81.57,460996
2-Feb-17,80.07,81.05,79.54,80.56,375244
1-Feb-17,79.93,80.96,78.65,79.78,635666
31-Jan-17,80.51,80.52,78.33,79.65,681472
30-Jan-17,80.85,80.85,78.68,80.50,461829
27-Jan-17,81.85,82.18,81.13,81.68,257008
26-Jan-17,80.30,81.93,80.09,81.75,654210
25-Jan-17,80.96,81.06,79.29,80.97,450847
24-Jan-17,80.99,81.57,80.14,81.19,541021
23-Jan-17,80.36,80.92,78.93,79.81,350309
20-Jan-17,80.09,80.70,79.45,80.09,306914
19-Jan-17,81.04,81.61,79.26,79.94,319867
18-Jan-17,80.50,82.11,80.03,81.88,418273
17-Jan-17,81.35,81.40,79.97,80.24,355913
13-Jan-17,81.37,82.34,81.07,81.35,305506
12-Jan-17,82.19,82.19,80.21,81.37,385452
11-Jan-17,83.13,83.93,82.20,82.65,378941
10-Jan-17,81.71,83.37,80.85,83.09,623905
9-Jan-17,81.63,81.78,79.85,79.85,515725
6-Jan-17,81.88,82.18,80.29,80.33,395940
5-Jan-17,82.49,83.97,81.92,82.27,350655
4-Jan-17,80.46,82.66,80.22,82.58,358336
3-Jan-17,80.59,81.80,79.64,80.41,269688
